Commodity,Desk,Commodity,Trader Name,Trader Email,Quantity
,D-5274,Coffee C,Jorge Benson,ma@gov.ml,"34,909"
,D-6874,Coffee C,Sarah Clayton,ru@jebajad.ao,"54,471"
,D-7146,Cotton No.2,Sue Adams,esi@judjesa.cn,"82,625"
,D-9652,Cotton No.2,Adam Wilkins,cetac@bok.ai,"49,276"
,D-4785,Cotton No.2,Lloyd Ferguson,ejsuji@uji.rw,"66,496"
,D-755,Cotton No.2,Fanny Newman,nesartuh@le.je,"60,898"
,D-119,Cotton No.2,Sallie James,cevoko@lic.sz,"47,275"
,D-6364,Cotton No.2,Edith Black,tipoma@za.ru,"35,620"
,D-7408,Cotton No.2,Allen Conner,nad@kuzuvrup.lk,"6,453"
,D-1458,Sugar No.14,Betty Jenkins,teci@avubi.tm,"24,808"
,D-832,Sugar No.14,Lottie Stone,kic@oddo.pf,"61,698"
,D-7689,Sugar No.14,Sallie Pena,hijak@kidikuiwu.np,"47,593"
